ResearchCenter,Researcher,Topic
MMTN,"Rindang Fajarin, S.Si., M.Si.","Materials Science and Engineering, with particular expertise in aluminium, barium, solid Electrolytes, hexaspheres, capacitor, compression Strength, density, electrochemical Double Layer, scanning Electron Microscope, composite Coatings, protector, surface (Surface Science), polymerization, oxida, come Left, tin, titanate, voltammetry Glides, orthopedic Devices, substantial Factors, splines, activated Carbon, reliability, Availability and Ease of Maintenance (Reliability Engineering), scan Speed, temperature Dependence, good Performance, double Layer, finite Difference Method, influencing Nodes, energy Storage, climate Change, tensor Products, surface Area Ratio, sensor Gas, knot, drying Temperature, compaction Pressure, and residence."
MMTN,"Hamzah Fansuri, Prof., S.Si., M.Si., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in catalytic Activity, al2O, analysis Thermogravimetry, particle Size Analysis, he loves, x-Ray Diffraction, thermal Expansion, cathode, density, metal-Organic Framework, cake ostriches, morphology, partial Oxidation, surface (Surface Science), semen Portland, magnetic Properties, fourier Transform Infrared Spectroscopy, thermal Stability, strontium is a type of strontium formed from a mixture of the following elements:, rice Husk Ash, seawater Desalination, light Diffraction, synthetic gas, downflow Gasifier, langmuir isotherm, separation Performance, asymmetric Membranes, managing time, inversion Method, multi level, movers, polymer Binders, cross section, state Reaction, cavity, municipal Solid Waste, silicon Dioxide, engineering Energy, biogas, electrodeposition, phenol, grafena, calcite, chitosan, dirt, methanol, methyl Orange, pseudo Second Order Model, evaporation, porcelainite, biochemical Reactor, and ultrafiltration."
MMTN,"Triyanda Gunawan, Dr.S.Si.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in analysis Thermogravimetry, anil, surface Defects, computational Fluid Dynamics, electrostatic Interaction, maximum Tensile Strength, density, metal-Organic Framework, cobalt, surface (Surface Science), cellulose Acetate, material Synthesis, fourier Transform Infrared Spectroscopy, tetramethyl orthosilicate, analysts., alternative Materials, lignocellulosic Biomass, centrifugal force, core-Shell, silver Nanoparticles, extracorporeal Oxygenation, state Reaction, fixed Bed Reactor, high Temperature, performance Test, aging Time, ammonia, indonesian: Fenton, film, grafena, hydrodeoxygenation, paraffin, pyrolysis, and heating Rate."
MMTN,"Nur Laila Hamidah, Dr. Eng., S.T., M.Sc.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in al2O3, catalysis, ionic Conductivity, scanning Electron Microscope, surface (Surface Science), polyester, oxidation Reaction, serious, fourier Transform Infrared Spectroscopy, supercapacitor, quantum Dots, voltammetry Glides, cost-Benefit Analysis, review Article, residential Buildings, computational Fluid Dynamics, alkaline Water Electrolysis, extended Kalman Filter, cell Concentration, mass Flow Rate, optimization Methods, cutting Method, analytical Model, dipole Moment, retro Installation, waste to Energy, nano Fiber, half Cell, room Temperature, engineering Energy, photocatalytic Degradation, grafena, resin Poliester, resin Urea Formaldehyde, inorganic Compounds, spectrometry, and titanium Dioxide."
MMTN,"Dinny Harnany, S.T., M.Sc.","Materials Science and Engineering, with particular expertise in hardware Steel, surprise Burden, factorial Design, carbon Dioxide, surface Roughness, three Dimensional Printing, indentation Hardness Testing, surface (Surface Science), polypropylene, oxida, sensor Applications, alternative Materials, band Gap Energy, growth Phase, fitness Function, fiber Content, daily Life, cutting Power, milling (Machining), edge Milling, siemens, test Specimen, melting Temperature, and packing Pressure."
MMTN,"Djoko Hartanto, Prof., Dr., Drs., M.Si.","Materials Science, Chemistry, and Engineering, with particular expertise in catalytic Activity, al2O, desorb, density, metal-Organic Framework, kobalt(II,III) Oxida, magnesium, composite Membranes, nanoparticles, cargo Carrier, polyethylene Glycol, nuclear Magnetic Resonance, heterojunction, come Left, kinetic Sequence, asam Lewis, table Salt, octahedral Crystals, chromium (VI), red, oligosaccharides, cellulose, spectrum IR, calcination Temperature, surfactant, density Function Theory, transesterification, the inside part, light Diffraction, synthetic gas, centrifugal force, property Relations, moisture Content, optimal Conditions, releasing Medication, methane, inversion Method, initial treatment, particle Surface, cross section, molar Ratio, diffuse Reflectance, bauxite Residue, hollow Fiber, aging Temperature, moles, engineering Energy, contact Time, and zirconia Stabilized by Yttria."
MMTN,"Nur Husodo, Ir., M.S","Materials Science, Engineering, and Chemical Engineering, with particular expertise in surface (Surface Science), dielectric Spectroscopy, degrees Celsius, bone Implants, acid Solution, engineering Energy, and free Energy."
MMTN,"Achmad Dwitama Karisma, Dr. Eng., S.T., M.T.",
MMTN,"Fredy Kurniawan, Prof., Dr. rer. nat., S.Si., M.Si.",
MMTN,"Firman Kurniawansyah, S.T., M.Eng.Sc., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in al2O, aluminum Oxide, x-Ray Diffraction, fluida Superkritis, ultimate Tensile Strength, kobalt(II,III) Oxida, solution, absorbent, kraft paper pulp, rice Husk Ash, environmental Aspects, alternative Fuels, fossil Fuels, central Composite Design, pore ​​Diameter, q Factor, optimal Conditions, pH Condition, response Surface Methodology, microcrystalline, design Models, compound Model, simple Approach, fungus Treatment, experiments Performed, extraction Process, reactant, fixed Bed Reactor, sonic, early Stress, engineering Energy, batch size, fluid Viscosity, ammonia, carboxylic Acid, lactic Acid, fatty Acids, diffusion, potassium Iodide, characteristics of Chemical Kinetics, gas Chromatography Mass Spectrometry, lumpur, magnesia, methanol, vegetable Oil, palm oil, paraffin, catalytic Cracking, reaktor Batch, sintesis Fischer-Tropsch, and transesterification."
MMTN,"Kusdianto, Dr. Eng., S.T., M.Sc.Eng.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in dynamic Analysis, anil, nanocomposite Film, volume Fraction, liquefied Petroleum Gas, who, cosmetics, solution, scanning Electron Microscope, nanoparticle Silica, composite Particles, ostwald ripening, optical Devices, surface (Surface Science), physical Properties, chemical Properties, sodium, come Left, znO, turbulent Flow, simulation Results, mold Framework, contactor, special Material 2., mineralization, coating Layers, burner, pusher, step by Step Process, filter Media, cylindrical Tank, hydroxyapatite, hydrated Lime, calcium Carbonate, colloid, precious metal, hydrogen Production, spectrometry, and surfactant."
MMTN,"Yuly Kusumawati, Dr., S.Si., M.Si.","Materials Science, Chemistry, and Engineering, with particular expertise in x-Ray Diffraction, enzymatic Hydrolysis, metal-Organic Framework, composite Membranes, surface (Surface Science), dielectric Spectroscopy, absorption Spectrum, thermal Stability, znO, betan's, biodiesel, sweet Orange, carbazole, red, methylene Blue, dFT-B3LYP calculation, piperidinium, polaron, redox Potential, density Function Theory, fee Transfer, coating Materials, transportation costs, light Diffraction, collection Efficiency, experiment Results, langmuir isotherm, optimal Conditions, specific Surface Area, microcrystalline, calorie Value, redox Couples, gas Production, crystal Structure, moles, applied Stress, engineering Energy, fourier Transform, and discrete Fourier Transform."
MMTN,Arif Luqman,
MMTN,"Siti Machmudah, Prof., Dr. Eng., S.T., M.Eng.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in silver Nanoparticles, surface (Surface Science), silicon Dioxide, titanium Dioxide, nanofiber, nano Fiber, flavonoid, liposomes, and zirconium Oxide."
MMTN,"Fahimah Martak, Prof., Dr., Dra., M.Si.","Pharmacology, Toxicology and Pharmaceutical Sciences, Materials Science, and Chemistry, with particular expertise in artemia, artemia salina, amino Acids, indonesian: Isatin, escherichia coli bacteria, flavonoid, glucose, glucosidase, imidazole, white Rot Fungus, uterine Cervical Cancer, who, minimum Inhibitory Concentration, ligand Protein, malignant Neoplasm, nickel, pirenzepin, pleurotus ostreatus, receptor, phytochemical Screening, medicinal plants, terpenoids, hydrazone Derivatives, virus Baptist Manusia Manusia, turn off, al2O, volume Fraction, hydrogel, cotton Fabric, wood, wetness, solution, absorbent, rough Surface, diffraction Patterns, nuclear Magnetic Resonance, sintesis Solvotermal, 3-(4,5-Dimethylthiazol-2-yl)-2,5-diphenyltetrazolium Bromide, ammonium Chloride, poisonous, cC, space Group, methanol, wave number, growth Inhibition, salsalat, uV/VIS Spectroscopy, tin, yellowish, and formation."
MMTN,"Fahmi Mubarok, S.T., M.Sc., Ph.D.","Materials Science and Engineering, with particular expertise in friction Coefficient, friction Coefficient, friction Coefficient, friction Coefficient, friction Coefficient, and friction Coefficient."
MMTN,"Irmina Kris Murwani, Prof., Dr. rer. nat., M.Si.",
MMTN,"Hikmatun Nimah, S.T., M.Sc., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in catalytic Activity, dynamic Mechanical Analysis, thermal Analysis, analysis Thermogravimetry, birefringence, ionic Liquids, cadmium, ultimate Tensile Strength, modulus Young, platelets, zirconium, kraft paper pulp, operating costs, central Composite Design, q Factor, solid Catalyst, pH Condition, sugar Concentration, crystallinity, aqueous Solution, liquid waste, fusel Oil, design Models, monomer, ethanol Purification, simple Approach, industrial Development, cross fasteners, pressure Drop, picia stypitis, cerevisiae Tree, fluid Viscosity, warm Up Time, lamination, ammonia, sulfuric acid, betaine, gel Thermosensitive, hydrogenolysis, characteristics of Chemical Kinetics, functional Groups, lumpur, magnesia, wastewater Treatment, biochemical Reactor, and surfactant."
MMTN,"Yatim Lailun Ni'mah, S.Si., M.Si., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in nitrogen Adsorption, bagasse, anode Material, liquid Fuel, sodium Ion Battery, desorb, polymer Electrolytes, film, ion Litium, density, ionic Conductivity, surface (Surface Science), come Left, tumor, voltammetry Glides, binary Mixture, box-Behnken Design, thermodynamic Efficiency, feature Extraction, inhibition, performance Characteristics, mean Square Error, crystallinity, metakaolin, n-Methyl-2-Pyrrolidone, calorie Value, reduced Graphene Oxide, bauxite Residue, test Solution, fTIR Spectroscopy, reaction Stoichiometry, aging Temperature, engineering Energy, flash point, fluid Viscosity, fatty Acids, grafena, water level, calcite, coprecipitase, heavy metal, palm oil, pseudo-Second Order Kinetic Models, also, chemical Absorption, polyvinyl Alcohol, zeta Potential, resin Epoxy, learning System, and transesterification."
MMTN,"Lukman Noerochim, S.T., M.Sc.(Eng)., Ph.D.","Materials Science and Engineering, with particular expertise in he loves, film, petroleum coke, ionic Conductivity, lanthanum, microsphere, surface (Surface Science), polianilin, physical Properties, redox Process, charging Status, titanium Dioxide, size Details, active Ingredients, in the photocatalyst, cohesive Zone Model, peak Shift, compaction Process, learning System, partial Charge Status, and reaction Stoichiometry."
MMTN,"Siti Nurkhamidah, S.T., M.S., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in thermal Expansion, density, kiralitas, kiss Crystal, critical Micelle Concentration, photonic Crystals, nucleation, biodegradable Polymers, silicon Dioxide, crop Data, fluks Permeat, mirror Image, optimal Conditions, maximum, energy Problems, reducing Sugar, re-Boiler Machine, strainer Tray, organosolv, ethanol Purification, movers, initial treatment, chemical Pre-Treatment, proses Do, spherical, antrasena, lactic Acid, water level, potash, carbon Black, methane, methanol, palm oil, oligomer, differential Mobility Analyzer, chemical Oxygen Demand, pyrolysis, anaerobic Biochemical Reactor, surfactant, and tannin."
MMTN,"Tantular Nurtono, Dr., S.T., M.Eng.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in sea water, cathode, particle Morphology, nanoparticle Silica, fine Particles, composite Particles, luminescence, large Eddy Simulation, come Left, supercapacitor, quantum Dots, nanofiber, turbulent Flow, sea Propeller, severity Factors, hemicellulose, mold Framework, pre-Mixed Combustion, pusher, temporary, numerical Studies, flame Temperature, moles, cylindrical Tank, fluid Flow, fatty Acids, hydrated Lime, potassium Hydroxide, calcium Carbonate, functional Groups, gas Chromatography Mass Spectrometry, precious metal, microencapsulate, absorption, polysaccharides, organic Pollutants, zirconium Oxide, and young nano."
MMTN,"Sungging Pintowantoro, Prof., Dr., S.T., M.T.","Earth and Planetary Science, Materials Science, and Engineering, with particular expertise in indonesia, magnetic Separation, nickel Recovery, organic Waste, selectivity, aluminum Oxide, implant Material, pig iron, ferronickel, fibroblasts, day, ion Nikel, cathode, density, cobalt, phase Composition, mangan, washing, alumina Production, oxidation Reaction, sodium, size Details, powdered Coal, discrete Elements, fe content, acid Concentration, metallica, mathematical Model, briquette Making, model Experiment, extension, hip Prosthesis, silicon Dioxide, engineering Energy, burning place, injection Rate, and hold Time."
MMTN,"Bambang Piscesa, S.T., M.T., Ph.D.","Materials Science and Engineering, with particular expertise in three-Dimensional Finite Element Analysis, foundry Sand, earthquake Techniques, free Vibration Analysis, core Ingredients, beams and Girders, axial Load, eccentric Load, energy Fracture, boat ferry Ro-Ro, limited Columns, female Model, failure Surface, attraction, and three-Point Bending Test."
MMTN,"Azzah Dyah Pramata, S.T., M.T., M.Eng., Ph.D.","Materials Science, Chemistry, and Engineering, with particular expertise in film, halides, hydrogen peroxide, enzymatic Hydrolysis, morphology, silicon Dioxide, sodium, crystal measure, chemical Deposition, fotoswitch, light Irradiation, chloroform, sensitization, visible Spectrum, photoflow, boy, band Gap Energy, test Results, lighting Conditions, glucose Concentration, solution Concentration, water Separation, reduction, energy Storage, fuel Cell, foundry Solutions, temperature Stability, and platelets."
MMTN,"Didik Prasetyoko, Prof., Dr., S.Si., M.Sc.",
MMTN,"Detak Yan Pratama, S.T., M.Sc.","Materials Science and Engineering, with particular expertise in aluminium, x-Ray Diffraction, refractive Index, fuel oil, gold Nanoparticles, stretch Measurements, surface (Surface Science), poly Methyl Methacrylate, sodium, finite Element Analysis, hydrochloric acid, light Diffraction, test Results, step Index, core-Shell, artificial Neural Networks, front Wheel, laser Systems, and mini plants."
MMTN,"Suminar Pratapa, Prof., Drs., M.Sc., Ph.D.",
MMTN,"Agung Purniawan, Prof., Dr., S.T., M.Eng.","Materials Science and Engineering, with particular expertise in anil, barium, density, scanning Electron Microscope, age Hardening, surface (Surface Science), oxidation Reaction, wolf, mesoporous Silica, come Left, ammonium Hydrogen Carbonate, biomedical Applications, polycrystalline Diamonds, quickly passed from memory, radio Frequency, fatigue of Life, sound Absorption Coefficient, instill, network Model, multimode, surface Acoustic Wave Devices, microwave Plasma, annealing Process, corrosion Resistant, and deposition Time."
MMTN,"Adi Setyo Purnomo, Prof., S.Si., M.Sc., Ph.D.",
MMTN,"Hariyati Purwaningsih, Dr., S.Si., M.Si.","Materials Science and Engineering, with particular expertise in bagasse, he loves, solid Electrolytes, density, surface (Surface Science), mesoporous Silica, sodium, come Left, voltammetry Glides, interface Adhesion, airflow, orthopedic Applications, sensor Applications, dihydrogen Ammonium Phosphate, electric Double Layer, specific Surface Area, monoclinic, alkaline Treatment, porosity, sol-Gel Process, state Reaction, oxygen Reduction Reaction, rice Husk, arc Spray, sugarcane Bagasse Fiber, degradation Rate, and deposition Time."
MMTN,"Sri Yani Purwaningsih, Dr., S.Si., M.Si.","Materials Science and Engineering, with particular expertise in young Nano, neutron Diffraction, film, magnetic Fluid, photoluminescence, hydrogen Bonding, refractive Index, rotary Coating, rietveld refinement, optical Properties, solar Cells, sel Surya Perovskite, sodium, come Left, country Analysis, main Factors, space Group, cubic Feet, natural Sand, data Show, crystal Plane, polycrystalline, rice Husk, ar atmosphere, glass Substrate, natural Resources, engineering Energy, coating Techniques, average Grain Size, and warm Up Time."
MMTN,"Agus Purwanto, Prof., Drs., M.Sc., D.Sc.",
MMTN,"Lailatul Qadariyah, Prof., Dr., S.T., M.T.","Agricultural and Biological Sciences, Engineering, and Chemical Engineering, with particular expertise in seeds, cymbopogon citratus, table Salt, sour Orange, cymbopogon Tree, a cup of a cup, tannin, box-Behnken Design, central Composite Design, cotton Fabric, electrical Conductivity, isolation Method, response Surface Methodology, microalgae, kinetic Model, pelat Bipolar, proton Exchange Membrane Fuel Cells, parametric Studies, empty Fruit Bunches, fluid Viscosity, processing time, fatty Acids, characteristics of Chemical Kinetics, methanol, used Cooking Oil, palm oil, polyethylene Glycol, and reaktor Batch."
MMTN,"Lailatul Qomariyah, Dr., S.T.","Materials Science, Agricultural and Biological Sciences, and Engineering, with particular expertise in aluminium, cosmetics, nanoparticle Silica, composite Particles, oxide Particles, optical Devices, tetraethyl Orthosilicate, znO, flavonoid, peanut, functional Foods, a few-a few, seed Tree, solid Waste, sea Lettuce, respiratory System, potential Applications, environmental Impact, technological Innovation, core-Shell, shell Thickness, temperature Conditions, spherical Particles, coal Burning, electro spray, theoretical Studies, surfactant, and ultrasonic."
MMTN,"Yeni Rahmawati, Dr., S.T., M.T.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in density, composite Membranes, scanning Electron Microscope, silicon Dioxide, pure Water, delignifikasi, separation Efficiency, fluks Permeat, dirt Content, human life, filter Paper, optimal Conditions, key Steps, inversion Method, movers, initial treatment, induced Precipitation, shell Side, moles, engineering Energy, grafena, water level, carbon Black, methane, methanol, separation Method, palm oil, reverse Osmosis, membrane Separation, differential Mobility Analyzer, and polysaccharides."
MMTN,"Mavindra Ramadhani, S.T., M.T.","Materials Science and Engineering, with particular expertise in analysis Thermogravimetry, barium, pig iron, x-Ray Diffraction, ferronickel, hexaspheres, cathode, ultimate Tensile Strength, polymer Composite, martensite, scanning Electron Microscope, morphology, copper Alloy, sand Casting, indentation Hardness Testing, peroxide, intermetallic Compounds, glass Fiber, sodium, fourier Transform Infrared Spectroscopy, corrosion Resistant, size Details, silicone, finite Element Analysis, operational Area, isothermal Section, ship Propeller, diamond, lead Frame, loss of Voice Transmission, rubber Composite, stress-Strain Curve, deleting, violence Value, fusion Deposition Modeling, circuit Breaker, three Dimensional Printing, sound Absorption, simulation Software, tire, casting Process, rapid Prototyping, tern system, equivalent Voltage, and hold Time."
MMTN,"Amaliya Rasyida, S.T., M.Sc.","Materials Science and Engineering, with particular expertise in new Materials, grafena, material Strength, density, wood-Plastic Composite, indentation Hardness Testing, mechanical Testing, polysiloxane, oxidation Reaction, silicon Dioxide, quantum Dots, nanofiber, industrial Applications, medical Applications, the inside part, negative Bacteria, positive Bacteria, used Tires, test Results, sound Absorption Coefficient, rubber Composite, unmodified montmorillonite, paduan Az, melt Mixing, modified poly, recycling Process, sol-Gel Process, nano Fiber, attraction, hot Press, and degradation Rate."
MMTN,"Doty Dewi Risanti, Dr.-Ing., S.T., M.T.","Materials Science and Engineering, with particular expertise in biodiesel, x-Ray Diffraction, film, volume Fraction, differential Scanning Calorimetry, carbon monoxide, matrix Composite, welding, polysiloxane, optical Properties, electronic Circuits, come Left, oxidation Resistant, prisoners creep, blow Agent, band Gap, bone Implants, isothermal, property Characterization, activated Carbon, cell Performance, initial treatment, natural Dyes, pipa Gas, hydrogen Production, healing Process, attraction, open Circuit Voltage, and tensile Test."
MMTN,"Tubagus Noor Rohmannudin, S.T., M.Sc.","Materials Science and Engineering, with particular expertise in sea water, aluminium, he loves, biomaterials, lithium Ion Battery, density, magnesium, theoretical Calculations, hydrothermal Synthesis, voltammetry Glides, photoflow, boy, lighting Conditions, glucose Concentration, solution Concentration, critical Cooling Rate, micrograph, reduction, high Temperature, and sequence of Polynomials."
MMTN,"Yuli Setiyorini, S.T., M.Phil., Ph.D.","Earth and Planetary Science, Materials Science, and Engineering, with particular expertise in indonesia, don't do it, minaral Carbonat, magnetic Separation, nickel Recovery, waste management, organic Waste, you did, implant Material, pig iron, ferronickel, wear Resistance, cobalt, bone Cement, sodium, corrosion Resistant, titanium Dioxide, lithium Ion Battery, memory Effect, surface Morphology, nickel Manganese Cobalt, design Optimization, steel Making, briquette Making, initial treatment, shock Absorption, electrolytic Polishing, air pollution, hip Prosthesis, joints (Structural Components), engineering Energy, and rich Slag."
MMTN,"Heru Setyawan, Prof., Dr., Ir., M.Eng.","Material Science, Engineering, and Chemical Engineering, with particular expertise in bagasse, capacitance, cathode, cyclic Voltammetry, graphene, manganese, nucleation, sol-Gel, stainless Steel, supercapacitors, znO, clean water, biomedical Applications, direct current, radio Frequency, experiment Results, crystallinity, high Surface Area, negative Charge, pusher, balance Position, plasma Reactor, engineering, coconut Fiber, cellulose Fiber, plasma-Enhanced Chemical Vapor Deposition, functional Groups, chitosan, mesoporous, absorption, and silk."
MMTN,"Ni Made Intan Putri Suari, S.T., M.T.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in sea water, magnetic Material, fiber Reinforced Material, electrode, phase Composition, surface (Surface Science), oxidation Reaction, dielectric Spectroscopy, electron Transfer, analysts., direct current, substrate Material, hydrophilicity, activated Carbon, steam Generator, linear Polarization, coconut Fiber, duty Cycle, generation System, early Stage, evaporation Rate, grafena, microencapsulate, and sunlight."
MMTN,Suasmoro,"Materials Science, Chemistry, and Engineering, with particular expertise in attraction, grafena, density, nanoparticles, surface (Surface Science), sQUID (Device), znO, tetragonal Space Group, i4/Mmm, relaxation, reaction Temperature Approx, diesel Power Plant, annealing Process, ar atmosphere, room Temperature, natural Resources, and systems Technology."
MMTN,"Sulistijono, Prof., Dr., Ir., DEA.","Materials Science and Engineering, with particular expertise in sea water, he loves, austenite, young Nano, lithium Ion Battery, biocompatibility, film, density, scanning Electron Microscope, morphology, surface (Surface Science), metal Surface, reinforced Plastic, polyester, thermal Stability, vitamin C, mixed Water, reliability Analysis, light steel, country Boundaries, stress Boundaries, graft, thermal Diffusivates, inhibition, film Density, hand Lay-ups, degradation Model, joints (Structural Components), polymer Substrates, circle Pressure, fourier Transform, and electric Arc Furnace."
MMTN,"Sumarno, Prof., Dr., Ir., M.Eng.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in al2O, stainless steel, bioethanol, film, flavonoid, hydrogen Bonding, differential Scanning Calorimetry, nucleation, surface (Surface Science), mixing Process, fourier Transform Infrared Spectroscopy, macro Structure, so Plastic, decompression, wave Energy, optimal Conditions, chromatography, methane, isolation Method, microcrystalline, cell Number, fungus Treatment, plastic Processing, initial treatment, fTIR Spectroscopy, engineering Energy, classical Nucleation Theory, dissolution Rate, error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know., warm Up Time, amylopectin, ammonia, arsenic, iron, solvent Extraction, carbohydrate, chromophore, vegetable Oil, oligomer, cooling, propane, reaktor Batch, we love each other, and sulfur."
